UID,Gratton_ID,Site_ID,DateAB,Date_,DOY,YEAR,County,Latitude,Longitude,Growth_Sta,Aphids_cou,Percentage,Ave_Aphids,UTMX,UTMY,MNN,DFF,ROI,SOS,ROD,EOS,MESS,RSQ,LGS,MID,GRN,pet_Ave,petDOY,petcumDOY,ndv_Ave,ndvDOY,ndvcumDOY,gddDOY,gddSEAS,gddMAX,gddSOS,gddROI,gddRSQ
22,2003023A,1342003A,A,8/18/2003 0:00,230,2003,Chippewa,44.88722,-91.28209,R4,220.25,100,220.25,161842.8725,4979348.116,1720.632168,6809.116914,0.052540397,128.6637019,-0.039214495,290.9326853,2,0.886043482,162.2689834,209.7981936,4264.874541,257.1645963,503.5714286,8982.857143,4697.743482,8072,142636.1135,992.6644965,771.202719,1456.886925,205.2861814,0.034731313,0.999117061
24,2003025A,1362003A,A,8/18/2003 0:00,230,2003,Dunn,44.79981,-91.91406,R4,180.75,100,180.75,111346.9919,4972470.667,1568.925368,10937.1816,0.033240329,156.3577575,-0.028000238,252.6027325,2,0.873078138,96.24497504,204.480245,6253.053484,241.3405797,438.3333333,8625.444444,4382.066876,7630.243243,136517.3557,1038.802734,751.6827902,1522.638935,205.025126,0.034526146,0.999181656
25,2003026A,1372003A,A,8/18/2003 0:00,230,2003,Dunn,44.77432,-91.91406,R3,350.5,100,350.5,111175.4838,4969639.081,1663.169046,8142.615142,0.040259214,137.1430703,-0.029861345,268.5657381,2,0.873471692,131.4226679,202.8544042,4902.892094,241.8913043,436.5555556,8653.555556,4529.068731,7370.027027,142001.3089,1030.312934,739.4402164,1510.41852,205.0596146,0.034573713,0.999177595
27,2003028A,1392003A,A,7/22/2003 0:00,203,2003,Green,42.7855,-89.51205,R2,668.8,100,668.8,294530.9537,4740055.943,2026.063755,8938.370793,0.032427731,155.9329629,-0.03076323,257.1494134,2,0.889398612,101.2164505,206.5411881,5482.217274,258.2173913,500.7777778,7278,4453.305236,8342.837838,107632.4102,719.4906684,772.5694139,1556.273574,206.7379991,0.034943227,0.999413424
28,2003029A,1402003A,A,7/22/2003 0:00,203,2003,Rock,42.7273,-89.02071,R2,3297.5,100,3297.5,334565.9729,4732512.473,1970.060001,7344.425761,0.031906885,159.1341808,-0.033661197,256.1188447,2,0.862709939,96.98466393,207.6265128,4657.242881,263.3985507,492,7442.333333,3888.170639,7580.972973,95155.65118,732.227322,791.7596773,1565.868107,206.3926841,0.034500471,0.999432789
32,2003033A,1442003A,A,7/23/2003 0:00,204,2003,Rock,42.81708,-89.30002,R2,617,100,617,311970.0763,4743067.948,1903.377271,11370.02991,0.03160503,180.8839296,-0.036169856,251.8709977,2,0.885385938,70.98706808,216.3774637,6636.703592,258.9661836,500.2222222,7322.333333,4082.609463,8426.75,95343.87316,733.3539497,889.8112386,1549.474744,206.1681421,0.03487412,0.999386484
34,2003035A,1462003A,A,7/22/2003 0:00,203,2003,Grant,42.9885,-90.68293,R2,63,100,63,199739.6876,4766122.507,1470.35637,6095.782307,0.050275958,112.3272771,-0.037360867,298.2281099,2,0.865652204,185.9008327,205.2776935,3783.069339,261.8937198,503.3333333,7369.777778,4513.716213,8134.216216,109338.2971,718.1866862,768.7470171,1540.728564,205.9793529,0.034915046,0.999330171
35,2003036A,1462003A,A,7/23/2003 0:00,204,2003,Rock,42.58542,-89.25648,R2,384.75,100,384.75,314842.2224,4717245.965,1806.307005,6995.758262,0.041746809,132.2759637,-0.028814898,275.127158,2,0.903206386,142.8511942,203.7015609,4401.032634,268.8623188,495.7777778,7555,4472.945174,8288.513514,108284.5591,767.4622396,784.2941452,1607.569901,205.9028159,0.03420224,0.999434707
36,2003037A,1472003A,A,7/22/2003 0:00,203,2003,Grant,43.04111,-90.79243,R2,306,100,306,191075.7407,4772363.368,2242.292682,6271.724957,0.0667363,113.7656155,-0.036619329,296.1946182,2,0.891325876,182.4290027,204.9801168,4257.00882,271.410628,512.3333333,7726,5315.37121,8505.918919,130487.5892,783.7226563,834.1583983,1660.528069,205.259727,0.034213825,0.999340152
40,2003041A,1492003A,A,7/23/2003 0:00,204,2003,Grant,42.81442,-90.99867,R2,27,100,27,173075.2746,4747966.565,1667.9222,11554.57412,0.02954801,172.2301912,-0.034697353,256.9385687,2,0.90568053,84.70837755,214.58438,6611.248159,267.5048309,502,7664.888889,4304.346651,8525.459459,101027.973,767.1771918,906.2281128,1612.998034,205.6433679,0.034298072,0.999358443
42,2003043A,1502003A,A,7/23/2003 0:00,204,2003,Grant,42.73921,-90.92987,R2,28,100,28,178311.2124,4739348.448,1512.506334,10127.98779,0.028016797,160.4372371,-0.03425682,265.6105131,2,0.905605286,105.173276,213.0238751,5820.247063,263.2198068,488.7777778,7471.555556,4374.125686,8690.135135,102894.5113,754.4767253,872.3637987,1586.062007,205.6592061,0.034415663,0.999359385
44,2003045A,1512003A,A,7/23/2003 0:00,204,2003,Grant,42.75739,-90.78616,R3,104,100,104,190167.02,4740829.109,1576.206785,6555.459434,0.039486913,122.1371375,-0.03755787,293.4636341,2,0.885521255,171.3264966,207.8003858,4065.833109,262.7318841,494.7777778,7463.111111,4593.914038,8253.162162,108745.8304,774.3685438,834.681408,1626.860732,205.5973165,0.03438851,0.999366594
45,2003046A,1512003A,A,7/23/2003 0:00,204,2003,Rock,42.68218,-88.8065,R2,1536.75,100,1536.75,351996.5061,4727104.452,2053.322765,8531.605215,0.04487508,181.4416221,-0.078061376,255.444283,2,0.916908473,74.00266086,218.4429526,5292.46399,263.589372,490.3333333,7453.333333,3768.927073,5989.243243,84877.21145,719.7906901,888.5902662,1528.616257,206.7551,0.034744084,0.999424881
46,2003047A,1522003A,A,7/23/2003 0:00,204,2003,Grant,42.87132,-90.50381,R2,116,100,116,213801.4852,4752482.885,1714.298998,6259.165298,0.049010843,121.3793721,-0.03636999,293.8550438,2,0.88488619,172.4756717,207.6172079,3986.732148,260.2125604,499.6666667,7343.666667,4613.332368,8469.918919,110440.5051,729.6497938,791.8574659,1552.172862,206.1952511,0.034962385,0.999353736
48,2003049A,1532003A,A,7/23/2003 0:00,204,2003,Grant,42.68125,-90.48141,R2,141,100,141,214759.1666,4731297.715,1868.118716,6140.92731,0.045502611,123.9169213,-0.036831275,295.6460581,3,0.883459188,171.7291368,209.7814897,4004.523013,263.8043478,499.4444444,7478.555556,4698.856384,7970.75,110436.1504,765.46148,847.5929216,1616.289139,205.9472618,0.03459109,0.999384836
50,2003051A,1542003A,A,7/23/2003 0:00,204,2003,Grant,42.55512,-90.44955,R2,26,100,26,216798.0625,4717182.819,1735.386217,7185.007695,0.030630299,137.3706383,-0.033908912,284.5826296,2,0.879197374,147.2119913,210.976634,4460.196956,263.9371981,497.1111111,7563.666667,4565.31038,7290.777778,107443.8559,754.0189887,844.4296703,1584.77111,205.6837269,0.034560039,0.999362604
51,2003052A,1542003A,A,7/24/2003 0:00,205,2003,Rock,42.82583,-89.16691,R2,45.7,100,45.7,322877.4154,4743751.179,1794.339487,12891.60652,0.028408452,172.3625906,-0.028809896,249.0845683,2,0.912754104,76.72197767,210.7235794,7342.973003,260.8792271,501.4444444,7368.555556,4437.411005,8468.25,104115.359,749.5084635,825.7402827,1565.909606,206.3685642,0.034692054,0.999425178
52,2003053A,1552003A,A,7/24/2003 0:00,205,2003,Green,42.73421,-89.72483,R2,353.5,100,353.5,276941.9191,4734900.673,1669.490301,5587.595102,0.059523636,107.8062411,-0.049756625,315.4647401,1,0.8646999,207.658499,211.6354906,3628.542702,261.821256,527.5555556,7371.111111,4797.407109,7719.324324,112081.5919,744.1132813,821.8823926,1557.768129,206.2507949,0.034925707,0.999391173
54,2003055A,1562003A,A,7/23/2003 0:00,204,2003,Grant,42.55691,-90.05583,R2,201,100,201,249131.769,4716139.124,2095.002574,5553.440066,0.059987233,112.7268801,-0.044345594,304.172826,1,0.858806595,191.4459459,208.4498531,3824.22132,262.7415459,485.4444444,7390.666667,4961.745847,8273.416667,118664.8384,755.8800998,820.9834146,1590.190637,205.8942419,0.034513523,0.999388063
57,2003058A,1572003A,A,7/24/2003 0:00,205,2003,Lafayette,42.71617,-89.89178,R2,41,100,41,263205.6098,4733352.217,2265.859767,5916.491269,0.050461097,126.8576135,-0.03487931,286.4527445,2,0.907172978,159.5951309,206.655179,4091.175518,268.4082126,523.6666667,7556.555556,4802.541647,8384.540541,115878.8264,750.8160265,793.6431803,1581.404972,206.6133168,0.034839907,0.9994196
58,2003059A,1582003A,A,7/25/2003 0:00,206,2003,Green,42.60194,-89.46265,R3,523,100,523,297977.2755,4719552.238,1873.297278,8514.69707,0.032956556,148.8317969,-0.026766422,262.5868499,2,0.884057604,113.755053,205.7093234,5193.997174,266.3695652,420,7951.222222,4447.963354,7528.27027,113779.4532,782.9192708,801.53758,1601.903032,205.9247289,0.034317547,0.999420727
59,2003060A,1582003A,A,7/24/2003 0:00,205,2003,Lafayette,42.69011,-90.0295,R2,243,100,243,251823.6517,4730853.807,2183.859812,5307.42282,0.065184815,110.760087,-0.038387575,304.8928069,2,0.886546604,194.1327199,207.8264469,3745.641316,258.0724638,500,7317.111111,4948.055474,8018.081081,119308.214,752.7307943,808.3329853,1580.429401,206.3926579,0.034797974,0.999398776
61,2003062A,1592003A,A,7/24/2003 0:00,205,2003,Lafayette,42.64824,-90.32798,R2,30,100,30,227186.7903,4727124.66,1684.168839,6970.33024,0.032900967,127.0651794,-0.031693209,289.6810562,2,0.872980058,162.6158767,208.3731178,4327.249539,261.1135266,477.5555556,7435.666667,4704.234932,8378.837838,111640.8609,746.7224392,805.5312123,1560.230239,206.0150683,0.034853132,0.999366113
62,2003063A,1602003A,A,7/25/2003 0:00,206,2003,Green,42.54627,-89.69051,R2,186.25,100,186.25,279087.1839,4713939.475,1844.242716,6728.372028,0.039783641,134.9711514,-0.032602107,282.4247114,2,0.868985727,147.45356,208.6979314,4286.307372,267.147343,426.2222222,7954.888889,4501.736908,7938.783784,114975.5735,786.3311089,832.2706422,1607.650274,205.7853639,0.034270221,0.999406919
63,2003064A,1602003A,A,7/24/2003 0:00,205,2003,Lafayette,42.76898,-90.19199,R2,72,100,72,238842.8443,4740103.404,2237.079588,5237.405403,0.062395094,116.1451949,-0.044613009,300.2480448,2,0.896291144,184.1028498,208.1966199,3737.242495,253.2705314,498.1111111,7174,4839.936272,8247.432432,117582.8175,744.2036675,801.9135366,1569.233218,206.5362388,0.034971181,0.999391707
65,2003066A,1612003A,A,7/24/2003 0:00,205,2003,Iowa,42.8421,-90.35369,R2,49,100,49,225935.3302,4748737.824,2069.771819,6261.153889,0.044435255,125.0896559,-0.044767395,291.605193,2,0.919071689,166.5155371,208.3474244,4165.462854,256.6545894,482.6666667,7196.444444,4887.724369,8579.135135,117844.842,714.6469184,775.3676792,1505.648046,206.3023389,0.03523303,0.999320296
66,2003067A,1622003A,A,7/28/2003 0:00,209,2003,Columbia,43.31271,-89.30547,R2,957.5,100,957.5,313037.6564,4798122.696,1947.115448,8784.444324,0.037692581,160.908725,-0.029519291,258.0494764,2,0.880104274,97.14075135,209.4791007,5365.779886,254.3405797,398.6666667,7692.111111,4231.667312,7594.189189,105957.6153,767.1815321,780.9258696,1492.318639,206.0176941,0.035306688,0.999360176
67,2003068A,1622003A,A,7/24/2003 0:00,205,2003,Iowa,42.8756,-90.10141,R2,425,100,425,246690.4518,4751667.664,2070.500367,4743.461723,0.0868312,103.6141817,-0.119755085,320.6778757,3,0.856448814,217.063694,212.1460287,3406.981045,252.2729469,511.8888889,7110.666667,4867.890717,7895.945946,118941.8378,714.1431749,797.894985,1502.469967,206.2674842,0.035338746,0.999343969
68,2003069A,1632003A,A,7/28/2003 0:00,209,2003,Columbia,43.31744,-89.20765,R2,726.25,100,726.25,320984.5143,4798433.572,1659.646329,11080.88005,0.032250649,177.4461423,-0.036912587,255.8680181,1,0.91195678,78.42187585,216.6570802,6370.263187,253.3309179,399.1111111,7641.444444,4006.162892,8219,99450.24977,768.7126194,860.8600901,1494.761906,206.0061729,0.035260041,0.99935364
69,2003070A,1632003A,A,7/28/2003 0:00,209,2003,Iowa,43.14248,-90.07125,R2,202,100,202,250238.743,4781216.912,2476.189379,5535.178863,0.078852796,120.308076,-0.05175957,292.632752,2,0.893859997,172.3246761,206.470414,4005.684121,259.089372,427.2222222,7815.666667,5061.419188,7697.945946,130509.7977,786.1751302,782.8574287,1580.182682,208.0060139,0.034905728,0.999459464
70,2003071A,1642003A,A,7/28/2003 0:00,209,2003,Columbia,43.40854,-89.24432,R2,662.5,100,662.5,318283.1571,4808630.467,1846.173498,9340.558026,0.03837586,165.333545,-0.035125186,258.1795554,2,0.897247478,92.8460104,211.7565502,5593.365762,255.1328502,417.2222222,7733.444444,4185.431339,8707.864865,105161.274,776.897895,812.7783293,1508.554027,205.8691891,0.035065619,0.999349183
72,2003073A,1652003A,A,7/28/2003 0:00,209,2003,Columbia,43.37533,-89.33897,R2,1170,100,1170,310515.8555,4805152.88,2023.057724,9062.017674,0.037358066,167.220411,-0.038973298,265.1310469,2,0.915471964,97.91063588,216.175729,5542.537699,252.178744,407.8888889,7581.888889,4420.690397,8617.567568,108406.1404,781.3584527,867.8005683,1524.614006,206.1853469,0.035023685,0.999376851
75,2003076A,1662003A,A,7/28/2003 0:00,209,2003,Iowa,43.16056,-90.84783,R2,15,100,15,187172.2059,4785836.017,2052.244696,5998.03579,0.0731582,111.7585901,-0.047542565,303.5762218,2,0.881156616,191.8176317,207.667406,4025.140243,263.4951691,438,7892.666667,5160.692999,8517.540541,131839.2563,813.4796549,814.8651948,1578.849259,205.5137755,0.03458626,0.999302627
76,2003077A,1672003A,A,7/30/2003 0:00,211,2003,Columbia,43.32694,-89.42354,R3,607,100,607,303508.3114,4799974.31,1860.545752,10146.53179,0.037591292,176.2309707,-0.039337662,254.2697722,2,0.911244176,78.03880151,215.2503714,6003.538769,251.294686,408,7639.555556,4003.11578,8030.918919,99328.11815,792.3801541,845.460375,1503.508414,206.2923673,0.035246974,0.999380205
77,2003078A,1672003A,A,7/31/2003 0:00,212,2003,Richland,43.23583,-90.22488,R3,248,100,248,238144.1526,4792054.581,2167.309612,6563.483205,0.046652173,129.2408989,-0.037668205,291.6054077,2,0.897556663,162.3645088,210.4231533,4365.396409,255.3236715,420.4444444,7678.111111,5033.481749,8461.972973,126296.193,824.2399631,813.2651199,1552.629191,206.7031667,0.034785281,0.999376963
78,2003079A,1682003A,A,7/30/2003 0:00,211,2003,Columbia,43.33528,-89.59909,R3,1132.5,100,1132.5,289303.6542,4801328.911,2398.487641,6477.403532,0.042554157,144.4416095,-0.044189904,283.7054329,2,0.892669462,139.2638234,214.0735212,4437.945586,260.0724638,421.4444444,7798.777778,4838.257665,7844.722222,120045.6276,795.5431858,830.2548711,1529.89702,207.2105025,0.035112739,0.999432388
79,2003080A,1682003A,A,7/31/2003 0:00,212,2003,Richland,43.48664,-90.48787,R3,63,100,63,217953.9,4820769.32,2403.064264,5827.966776,0.064989316,123.4337376,-0.047404135,297.8733436,2,0.867724344,174.439606,210.6535406,4115.51552,252.8381643,417.6666667,7537,5152.068733,8266.702703,132725.5588,785.1079102,771.7616601,1458.664534,205.7050931,0.03533346,0.999213436
80,2003081A,1692003A,A,7/30/2003 0:00,211,2003,Columbia,43.5942,-89.55979,R2,900,100,900,293374.033,4829986.959,2388.823122,5912.303141,0.051988929,130.469959,-0.046650703,289.5687254,2,0.876816198,159.0987664,210.0193422,4150.563132,259.2463768,414.7777778,7820.555556,4934.657824,8279.486486,126377.8926,801.5863715,795.8473504,1511.592433,205.7376471,0.034697647,0.999335525
81,2003082A,1692003A,A,7/31/2003 0:00,212,2003,Richland,43.37705,-90.3874,R4,165,100,165,225583.5957,4808261.544,2275.396363,5690.770828,0.069416569,120.9642035,-0.044806034,299.0210325,2,0.881344371,178.0568291,209.992618,3983.083596,252.8381643,415.2222222,7607.444444,5011.41739,8417.324324,126351.9837,820.9299045,802.9505004,1528.959731,205.8602234,0.034789085,0.999298152
82,2003083A,1702003A,A,7/30/2003 0:00,211,2003,Columbia,43.59448,-89.39962,R3,1093,100,1093,306304.2297,4829631.967,2263.122916,5941.67673,0.050640844,133.0202564,-0.043583862,288.4628148,2,0.887897328,155.4425584,210.7415356,4102.399823,257.0700483,425.3333333,7771.777778,4759.702367,8083.432432,120547.1622,808.5400933,807.1996798,1522.733836,205.6513293,0.034656855,0.999341872
83,2003084A,1702003A,A,7/31/2003 0:00,212,2003,Richland,43.26294,-90.50434,R3,42,100,42,215577.0265,4795979.503,1833.668643,6816.911596,0.044700836,126.6887832,-0.040155203,292.5270299,2,0.92146229,165.8382467,209.6079065,4325.290119,256.6135266,418.3333333,7754.333333,4880.093194,8749.121212,121691.6321,811.0212674,794.0838128,1512.530563,205.9949878,0.035099127,0.999296436
84,2003085A,1712003A,A,7/31/2003 0:00,212,2003,Columbia,43.43904,-89.3857,R2,99.6,100,99.6,306932.6245,4812335.883,2468.340379,6305.168379,0.043076139,141.3904638,-0.032329126,278.8596788,1,0.858390391,137.469215,210.1250713,4386.754379,259.8115942,409,7945,4791.315544,8022.567568,122495.6231,822.1672635,805.5213863,1532.146887,206.0883706,0.034823549,0.999369885
85,2003086A,1712003A,A,8/5/2003 0:00,217,2003,Crawford,43.1281,-91.0363,R3,62,100,62,171674.0595,4782953.072,1167.329956,7205.09479,0.033849868,123.6807188,-0.036570889,295.6593868,1,0.875408694,171.9786679,209.6700528,4186.212373,266.5821256,491.3333333,8522.111111,4486.147758,8420.72973,120140.2293,906.5411784,829.3930668,1576.488529,205.6861295,0.034613114,0.999316018
87,2003088A,1722003A,A,8/5/2003 0:00,217,2003,Crawford,43.27018,-90.73602,R3,160,100,160,196807.5732,4797599.06,1873.879436,6292.02484,0.052862764,119.2115815,-0.044967347,301.4476941,1,0.898707457,182.2361126,210.3296378,4082.952138,258.705314,485.4444444,8306.555556,4968.114173,7837.277778,132706.4952,880.9641385,805.4823554,1531.179568,205.6473912,0.034868986,0.999274809
88,2003089A,1732003A,A,7/31/2003 0:00,212,2003,Columbia,43.61443,-89.17487,R2,144.05,100,144.05,324504.4,4831348.033,2107.643966,7411.131074,0.046209685,149.7208992,-0.037768176,273.3248106,2,0.911454096,123.6039114,211.5228549,4759.38752,253.5144928,406.2222222,7630.333333,4580.156874,8402.783784,115036.2703,811.4356554,812.0403697,1506.023079,205.705249,0.034936442,0.999311638
89,2003090A,1732003A,A,8/5/2003 0:00,217,2003,Crawford,43.39848,-90.76818,R2,831,100,831,194841.5225,4811966.539,1942.811854,6519.700813,0.052240836,119.8751032,-0.043634589,297.8554658,3,0.90764685,177.9803626,208.8652845,4231.256334,253.0845411,473.4444444,8037.777778,5074.4457,7877.212121,135452.6644,866.7528212,786.1605766,1507.27612,205.6011445,0.034982741,0.999222389
90,2003091A,1742003A,A,7/31/2003 0:00,212,2003,Columbia,43.56482,-89.14737,R2,303.25,100,303.25,326581.0463,4825780.396,1774.312411,17784.29357,0.032477689,188.3397911,-0.031559365,239.5726078,2,0.906060115,51.2328167,213.9561995,9779.302991,251.0072464,397.6666667,7577.444444,4223.878766,8397.297297,103517.0719,809.2320421,836.6278734,1501.981525,205.7410035,0.035018102,0.999316792
91,2003092A,1742003A,A,8/5/2003 0:00,217,2003,Crawford,43.37819,-90.94116,R2,300,100,300,180725.2082,4810361.475,1314.60827,6832.7809,0.050557509,112.8615176,-0.043030834,304.4252387,2,0.927885808,191.5637212,208.6433782,4073.694585,257.0724638,489,8207.555556,4839.821783,7893.216216,128181.0182,881.9472114,794.6988199,1532.841725,205.5961644,0.03488273,0.999244688
92,2003093A,1752003A,A,7/31/2003 0:00,212,2003,Columbia,43.49963,-89.14142,R3,913.75,100,913.75,326875.1057,4818527.814,2094.175422,6976.861186,0.042584981,155.9356099,-0.048721958,274.1638401,2,0.892721504,118.2282302,215.049725,4535.518304,248.5483092,397.1111111,7528.111111,4330.666275,7113.675676,107076.5676,809.6970486,845.093239,1503.79422,205.8032521,0.03507143,0.999334938
93,2003094A,1752003A,A,8/5/2003 0:00,217,2003,Crawford,43.4653,-91.0431,R3,48,100,48,172936.3247,4820432.82,962.7880709,7814.209686,0.032072419,123.0727875,-0.037623026,300.8692149,2,0.902609438,177.7964275,211.9710012,4388.498878,260.6666667,496.7777778,8303.111111,4678.715496,8507.27027,121872.7777,909.0335829,848.5280237,1577.82361,205.4018823,0.034614661,0.999246109
94,2003095A,1762003A,A,7/31/2003 0:00,212,2003,Columbia,43.40679,-89.07795,R3,712,100,712,331749.2141,4808086.775,1629.72554,9148.757847,0.036224915,157.1448062,-0.03361646,265.9074543,2,0.931228116,108.7626481,211.5261302,5389.241694,253.5869565,399.5555556,7667.222222,4306.133584,8554.189189,107399.7124,800.632921,801.637881,1487.017478,205.8503253,0.035286488,0.999342733
95,2003096A,1762003A,A,8/5/2003 0:00,217,2003,Crawford,43.53295,-90.87407,R3,60,100,60,186961.2925,4827295.83,1086.99084,5776.088811,0.058093537,103.5720374,-0.050332008,316.515789,2,0.868590534,212.9437516,210.0439132,3431.539825,253.9541063,471,8029.444444,4402.885194,6138.297297,115555.9351,852.1593424,781.2185685,1487.277578,205.8126675,0.03516883,0.999180739
96,2003097A,1772003A,A,8/5/2003 0:00,217,2003,Crawford,43.57192,-90.74886,R3,108,100,108,197274.8852,4831159.985,2177.130412,6129.936107,0.050487012,123.5590683,-0.041116014,296.934792,2,0.86994426,173.3757237,210.2469301,4153.53326,254.1594203,482.6666667,8098.888889,5040.750532,8585.513514,134513.011,861.2790256,794.006278,1498.368677,205.5662438,0.035031533,0.999184249
97,2003098A,1772003A,A,8/4/2003 0:00,216,2003,Dane,43.13346,-89.1588,R3,2747.5,100,2747.5,324418.3095,4777897.574,1921.226899,14283.72929,0.03335631,171.1679805,-0.027619258,228.303057,2,0.869153529,57.13507644,199.7355187,8102.478097,256.0410628,442.3333333,8134.444444,4107.842119,5340.027027,112656.1158,857.3116862,668.5049506,1515.681796,206.3990368,0.035233207,0.999390909
98,2003099A,1782003A,A,8/5/2003 0:00,217,2003,La Crosse,43.72756,-90.93069,R2,47,100,47,183410.6673,4849126.774,2126.449908,6250.892309,0.044513607,124.6850853,-0.052732615,298.7850786,2,0.862430364,174.0999933,211.7350819,4188.671108,250.2101449,478.3333333,8028.777778,5072.869006,8412.216216,135155.677,844.9420573,792.5908229,1479.5489,205.9796753,0.035300524,0.999141515
99,2003100A,1792003A,A,8/19/2003 0:00,231,2003,Eau Claire,44.68334,-91.41842,R3,1138.75,100,1138.75,149843.9896,4957277.956,1852.586478,6242.281599,0.056352639,125.7410678,-0.043250009,292.6117275,2,0.886544332,166.8706597,209.1763976,4047.434039,247.678744,450.7777778,8740.777778,4666.36448,7633.594595,142837.9823,1029.675998,784.5810686,1488.115183,205.0936542,0.034506583,0.999132946
100,2003101A,1792003A,A,8/5/2003 0:00,217,2003,Vernon,43.69367,-91.16724,R4,44,100,44,164167.2445,4846294.726,1863.094892,6191.129749,0.055709391,114.0405766,-0.044819141,307.1706287,3,0.89795018,193.1300521,210.6056026,4027.112321,266.9879227,509.6666667,8598,5084.861892,8066.243243,136143.4578,971.9167752,891.4003992,1678.316113,204.8876127,0.034033752,0.999255629
