OBSERVATION_ID,OBSERVATION_DATE,OBSERVATION_YEAR,OBSERVATION_MONTH,DAY_OF_YEAR,SPECIES_ID,COMMON_NAME,SCIENTIFIC_NAME,PLANT_GROUP,PHENOPHASE_NAME,PHENOPHASE_ID,OBSERVATION_TYPE,OBSERVATION_COMMENT,LATITUDE,LONGITUDE,SITE_ID,SITE_NAME,SITE_CITY,SITE_STATE,SITE_COMMENT,OBSERVER_ID
24709,2014-01-15,2014,1,015,7649,"Narrowleaf Cottonwood ",Populus angustifolia,occ_trees,Leaves Unfolding (None),110,Single,"This entry is a starting point for my observations of this tree species in the area that will continue.  Around this area, the Narrowleaf Cottonwood is still dormant for the winter, which is to be expected.  One tree was badly broken during the flood earlier this year & it will be interesting to see how it recovers.  ",39.8255,-105.13,10656,"Backyard Arvada, CO House",Arvada,CO,,20581
24710,2014-01-15,2014,1,015,7649,"Narrowleaf Cottonwood ",Populus angustifolia,occ_trees,Leaves Changing Color (None),120,Single,"This entry is a starting point for my observations of this tree species in the area that will continue.  Around this area, the Narrowleaf Cottonwood is still dormant for the winter, which is to be expected.  One tree was badly broken during the flood earlier this year & it will be interesting to see how it recovers.  ",39.8255,-105.13,10656,"Backyard Arvada, CO House",Arvada,CO,,20581
24711,2014-01-15,2014,1,015,7649,"Narrowleaf Cottonwood ",Populus angustifolia,occ_trees,Leaves Dropping (None),130,Single,"This entry is a starting point for my observations of this tree species in the area that will continue.  Around this area, the Narrowleaf Cottonwood is still dormant for the winter, which is to be expected.  One tree was badly broken during the flood earlier this year & it will be interesting to see how it recovers.  ",39.8255,-105.13,10656,"Backyard Arvada, CO House",Arvada,CO,,20581
24712,2014-01-15,2014,1,015,7649,"Narrowleaf Cottonwood ",Populus angustifolia,occ_trees,Flowers (None),140,Single,"This entry is a starting point for my observations of this tree species in the area that will continue.  Around this area, the Narrowleaf Cottonwood is still dormant for the winter, which is to be expected.  One tree was badly broken during the flood earlier this year & it will be interesting to see how it recovers.  ",39.8255,-105.13,10656,"Backyard Arvada, CO House",Arvada,CO,,20581
24713,2014-01-15,2014,1,015,7649,"Narrowleaf Cottonwood ",Populus angustifolia,occ_trees,Fruit (None),150,Single,"This entry is a starting point for my observations of this tree species in the area that will continue.  Around this area, the Narrowleaf Cottonwood is still dormant for the winter, which is to be expected.  One tree was badly broken during the flood earlier this year & it will be interesting to see how it recovers.  ",39.8255,-105.13,10656,"Backyard Arvada, CO House",Arvada,CO,,20581
24714,2014-01-15,2014,1,015,143,Narrowleaf cattail,Typha angustifolia,occ_grasses,Flower Stalk Emerging (None),310,Single,"This observation is a starting point for my observations that will follow.   Surprisingly in this area, many of the Narrowleaf Cattail are still releasing their fruit, while some have not even been able to release any of their fruit.  The stalks all appear to be brown & dry, with most stalks having no fruit.",39.8255,-105.13,10657,Backyard Arvada,Arvada,CO,,20581
24715,2014-01-15,2014,1,015,143,Narrowleaf cattail,Typha angustifolia,occ_grasses,Pollen (None),320,Single,"This observation is a starting point for my observations that will follow.   Surprisingly in this area, many of the Narrowleaf Cattail are still releasing their fruit, while some have not even been able to release any of their fruit.  The stalks all appear to be brown & dry, with most stalks having no fruit.",39.8255,-105.13,10657,Backyard Arvada,Arvada,CO,,20581
24716,2014-01-15,2014,1,015,143,Narrowleaf cattail,Typha angustifolia,occ_grasses,Fruit (Late),333,Single,"This observation is a starting point for my observations that will follow.   Surprisingly in this area, many of the Narrowleaf Cattail are still releasing their fruit, while some have not even been able to release any of their fruit.  The stalks all appear to be brown & dry, with most stalks having no fruit.",39.8255,-105.13,10657,Backyard Arvada,Arvada,CO,,20581
24717,2014-01-16,2014,1,016,78,Eastern redbud,Cercis canadensis,occ_trees,Leaves Unfolding (None),110,Single,"larger buds apparent, mostly on top half of tree",35.8108,-78.7151,10660,Prairie Ridge,Raleigh,NC,,17121
24718,2014-01-16,2014,1,016,78,Eastern redbud,Cercis canadensis,occ_trees,Leaves Changing Color (None),120,Single,"larger buds apparent, mostly on top half of tree",35.8108,-78.7151,10660,Prairie Ridge,Raleigh,NC,,17121
24719,2014-01-16,2014,1,016,78,Eastern redbud,Cercis canadensis,occ_trees,Leaves Dropping (Late),133,Single,"larger buds apparent, mostly on top half of tree",35.8108,-78.7151,10660,Prairie Ridge,Raleigh,NC,,17121
24720,2014-01-16,2014,1,016,78,Eastern redbud,Cercis canadensis,occ_trees,Flowers (None),140,Single,"larger buds apparent, mostly on top half of tree",35.8108,-78.7151,10660,Prairie Ridge,Raleigh,NC,,17121
24721,2014-01-16,2014,1,016,78,Eastern redbud,Cercis canadensis,occ_trees,Fruit (None),150,Single,"larger buds apparent, mostly on top half of tree",35.8108,-78.7151,10660,Prairie Ridge,Raleigh,NC,,17121
24722,2014-01-16,2014,1,016,50,Eastern serviceberry,Amelanchier canadensis,occ_trees,Leaves Unfolding (None),110,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10661,Prairie Ridge,Raleigh,NC,,17121
24723,2014-01-16,2014,1,016,50,Eastern serviceberry,Amelanchier canadensis,occ_trees,Leaves Changing Color (None),120,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10661,Prairie Ridge,Raleigh,NC,,17121
24724,2014-01-16,2014,1,016,50,Eastern serviceberry,Amelanchier canadensis,occ_trees,Leaves Dropping (Late),133,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10661,Prairie Ridge,Raleigh,NC,,17121
24725,2014-01-16,2014,1,016,50,Eastern serviceberry,Amelanchier canadensis,occ_trees,Flowers (None),140,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10661,Prairie Ridge,Raleigh,NC,,17121
24726,2014-01-16,2014,1,016,50,Eastern serviceberry,Amelanchier canadensis,occ_trees,Fruit (None),150,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10661,Prairie Ridge,Raleigh,NC,,17121
24727,2014-01-16,2014,1,016,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Unfolding (None),110,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10662,Prairie Ridge,Raleigh,NC,,17121
24728,2014-01-16,2014,1,016,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Changing Color (None),120,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10662,Prairie Ridge,Raleigh,NC,,17121
24729,2014-01-16,2014,1,016,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Dropping (Late),133,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10662,Prairie Ridge,Raleigh,NC,,17121
24730,2014-01-16,2014,1,016,52,Flowering dogwood,Cornus florida,occ_trees,Flowers (None),140,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10662,Prairie Ridge,Raleigh,NC,,17121
24731,2014-01-16,2014,1,016,52,Flowering dogwood,Cornus florida,occ_trees,Fruit (None),150,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10662,Prairie Ridge,Raleigh,NC,,17121
24732,2014-01-16,2014,1,016,44,Boxelder,Acer negundo,occ_trees,Leaves Unfolding (None),110,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10663,Prairie Ridge,Raleigh,NC,,17121
24733,2014-01-16,2014,1,016,44,Boxelder,Acer negundo,occ_trees,Leaves Changing Color (None),120,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10663,Prairie Ridge,Raleigh,NC,,17121
24734,2014-01-16,2014,1,016,44,Boxelder,Acer negundo,occ_trees,Leaves Dropping (Late),133,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10663,Prairie Ridge,Raleigh,NC,,17121
24735,2014-01-16,2014,1,016,44,Boxelder,Acer negundo,occ_trees,Flowers (None),140,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10663,Prairie Ridge,Raleigh,NC,,17121
24736,2014-01-16,2014,1,016,44,Boxelder,Acer negundo,occ_trees,Fruit (None),150,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10663,Prairie Ridge,Raleigh,NC,,17121
24737,2014-01-16,2014,1,016,149,Sweetgum,Liquidambar styraciflua,occ_trees,Leaves Unfolding (None),110,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10664,Prairie Ridge,Raleigh,NC,,17121
24738,2014-01-16,2014,1,016,149,Sweetgum,Liquidambar styraciflua,occ_trees,Leaves Changing Color (None),120,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10664,Prairie Ridge,Raleigh,NC,,17121
24739,2014-01-16,2014,1,016,149,Sweetgum,Liquidambar styraciflua,occ_trees,Leaves Dropping (Late),133,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10664,Prairie Ridge,Raleigh,NC,,17121
24740,2014-01-16,2014,1,016,149,Sweetgum,Liquidambar styraciflua,occ_trees,Flowers (None),140,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10664,Prairie Ridge,Raleigh,NC,,17121
24741,2014-01-16,2014,1,016,149,Sweetgum,Liquidambar styraciflua,occ_trees,Fruit (None),150,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10664,Prairie Ridge,Raleigh,NC,,17121
24742,2014-01-16,2014,1,016,63,Tulip poplar,Liriodendron tulipifera,occ_trees,Leaves Unfolding (None),110,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10665,Prairie Ridge,Raleigh,NC,,17121
24743,2014-01-16,2014,1,016,63,Tulip poplar,Liriodendron tulipifera,occ_trees,Leaves Changing Color (None),120,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10665,Prairie Ridge,Raleigh,NC,,17121
24744,2014-01-16,2014,1,016,63,Tulip poplar,Liriodendron tulipifera,occ_trees,Leaves Dropping (Late),133,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10665,Prairie Ridge,Raleigh,NC,,17121
24745,2014-01-16,2014,1,016,63,Tulip poplar,Liriodendron tulipifera,occ_trees,Flowers (None),140,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10665,Prairie Ridge,Raleigh,NC,,17121
24746,2014-01-16,2014,1,016,63,Tulip poplar,Liriodendron tulipifera,occ_trees,Fruit (None),150,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10665,Prairie Ridge,Raleigh,NC,,17121
24747,2014-01-16,2014,1,016,59,Red maple,Acer rubrum,occ_trees,Leaves Unfolding (None),110,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10666,Prairie Ridge,Raleigh,NC,,17121
24748,2014-01-16,2014,1,016,59,Red maple,Acer rubrum,occ_trees,Leaves Changing Color (None),120,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10666,Prairie Ridge,Raleigh,NC,,17121
24749,2014-01-16,2014,1,016,59,Red maple,Acer rubrum,occ_trees,Leaves Dropping (Late),133,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10666,Prairie Ridge,Raleigh,NC,,17121
24750,2014-01-16,2014,1,016,59,Red maple,Acer rubrum,occ_trees,Flowers (None),140,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10666,Prairie Ridge,Raleigh,NC,,17121
24751,2014-01-16,2014,1,016,59,Red maple,Acer rubrum,occ_trees,Fruit (None),150,Single,larger buds apparent on top half of tree,35.8108,-78.7151,10666,Prairie Ridge,Raleigh,NC,,17121
24752,2014-01-17,2014,1,017,7650,Flowering quince,Chaenomeles x superba,occ_trees,Leaves Unfolding (Middle),112,Single,,38.5595,-121.44,10667,East Sacramento,Sacramento,CA,,20577
24753,2014-01-17,2014,1,017,7650,Flowering quince,Chaenomeles x superba,occ_trees,Leaves Changing Color (Middle),122,Single,,38.5595,-121.44,10667,East Sacramento,Sacramento,CA,,20577
24754,2014-01-17,2014,1,017,7650,Flowering quince,Chaenomeles x superba,occ_trees,Leaves Dropping (Middle),132,Single,,38.5595,-121.44,10667,East Sacramento,Sacramento,CA,,20577
24755,2014-01-17,2014,1,017,7650,Flowering quince,Chaenomeles x superba,occ_trees,Flowers (Early),141,Single,,38.5595,-121.44,10667,East Sacramento,Sacramento,CA,,20577
24756,2014-01-17,2014,1,017,7650,Flowering quince,Chaenomeles x superba,occ_trees,Fruit (None),150,Single,,38.5595,-121.44,10667,East Sacramento,Sacramento,CA,,20577
24757,2014-01-12,2014,1,012,6418,Mahonia Ã— media â€˜Arthur Menziesâ€™,Mahonia Ã— media,evergreen,First Flower,51,Regular,,47.6136,-122.176,7255,Wilburton west,Bellevue,WA,,16591
24772,2014-01-09,2014,1,009,105,Black sage,Salvia mellifera,occ_evergreens,Flowers (Early),411,Single,,32.8918,-117.241,10672,Torrey Pines,San Diego,CA,,34
24773,2014-01-09,2014,1,009,105,Black sage,Salvia mellifera,occ_evergreens,Fruit (None),420,Single,,32.8918,-117.241,10672,Torrey Pines,San Diego,CA,,34
24774,2014-01-24,2014,1,024,38,Quaking aspen,Populus tremuloides,occ_trees,Leaves Unfolding (None),110,Single,Checking mobile SR protocol,40.017,-105.245,10683,NEON,Boulder,CO,,373
24775,2014-01-24,2014,1,024,38,Quaking aspen,Populus tremuloides,occ_trees,Leaves Changing Color (None),120,Single,Checking mobile SR protocol,40.017,-105.245,10683,NEON,Boulder,CO,,373
24776,2014-01-24,2014,1,024,38,Quaking aspen,Populus tremuloides,occ_trees,Leaves Dropping (None),130,Single,Checking mobile SR protocol,40.017,-105.245,10683,NEON,Boulder,CO,,373
24777,2014-01-24,2014,1,024,38,Quaking aspen,Populus tremuloides,occ_trees,Flowers (None),140,Single,Checking mobile SR protocol,40.017,-105.245,10683,NEON,Boulder,CO,,373
24778,2014-01-24,2014,1,024,38,Quaking aspen,Populus tremuloides,occ_trees,Fruit (None),150,Single,Checking mobile SR protocol,40.017,-105.245,10683,NEON,Boulder,CO,,373
24779,2014-01-08,2014,1,008,7652,Shaw agave,Agave shawii,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10684,Torrey Pines,San Diego,CA,,34
24780,2014-01-08,2014,1,008,7652,Shaw agave,Agave shawii,occ_evergreens,Fruit (Middle),422,Single,,32.92,-117.254,10684,Torrey Pines,San Diego,CA,,34
24781,2014-01-08,2014,1,008,7653,Sea dahlia,Leptosyne maritima,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10685,Torrey Pines,San Diego,CA,,34
24782,2014-01-08,2014,1,008,7653,Sea dahlia,Leptosyne maritima,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10685,Torrey Pines,San Diego,CA,,34
24783,2014-01-08,2014,1,008,7654,coastal bladderpod,Peritoma arborea,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10686,Torrey Pines,San Diego,CA,,34
24784,2014-01-08,2014,1,008,7654,coastal bladderpod,Peritoma arborea,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10686,Torrey Pines,San Diego,CA,,34
24785,2014-01-08,2014,1,008,7655,wild cucumber,Marah macrocarpus,occ_wildflowers,Flowers (Middle),212,Single,,32.92,-117.254,10687,Torrey Pines,San Diego,CA,,34
24786,2014-01-08,2014,1,008,7655,wild cucumber,Marah macrocarpus,occ_wildflowers,Fruit (None),220,Single,,32.92,-117.254,10687,Torrey Pines,San Diego,CA,,34
24787,2014-01-24,2014,1,024,7656,Bush rue,Cneoridium dumosum,occ_evergreens,Flowers (Early),411,Single,"less than 10% of shrubs in flower, but some of the shrubs in flower had more than 50% branches in flower",32.92,-117.254,10688,Torrey Pines,San Diego,CA,,34
24788,2014-01-24,2014,1,024,7656,Bush rue,Cneoridium dumosum,occ_evergreens,Fruit (None),420,Single,"less than 10% of shrubs in flower, but some of the shrubs in flower had more than 50% branches in flower",32.92,-117.254,10688,Torrey Pines,San Diego,CA,,34
24789,2014-01-08,2014,1,008,7657,Mission manzanita,Xylococcus bicolor,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10689,Torrey Pines,San Diego,CA,,34
24790,2014-01-08,2014,1,008,7657,Mission manzanita,Xylococcus bicolor,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10689,Torrey Pines,San Diego,CA,,34
24791,2014-01-08,2014,1,008,104,Lemonadeberry,Rhus integrifolia,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10690,Torrey Pines,San Diego,CA,,34
24792,2014-01-08,2014,1,008,104,Lemonadeberry,Rhus integrifolia,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10690,Torrey Pines,San Diego,CA,,34
24793,2014-01-08,2014,1,008,7658,Bush poppy,Dendromecon rigida,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10691,Torrey Pines,San Diego,CA,,34
24794,2014-01-08,2014,1,008,7658,Bush poppy,Dendromecon rigida,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10691,Torrey Pines,San Diego,CA,,34
24795,2014-01-08,2014,1,008,7659,wart stemmed ceanothus,Ceanothus verrucosus,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10692,Torrey Pines,San Diego,CA,,34
24796,2014-01-08,2014,1,008,7659,wart stemmed ceanothus,Ceanothus verrucosus,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10692,Torrey Pines,San Diego,CA,,34
24797,2014-01-08,2014,1,008,7660,California ragwort,Senecio californicus,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10693,Torrey Pines,San Diego,CA,,34
24798,2014-01-08,2014,1,008,7660,California ragwort,Senecio californicus,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10693,Torrey Pines,San Diego,CA,,34
24799,2014-01-24,2014,1,024,7662,Bush rue,Cneoridium dumosum,occ_evergreens,Flowers (Middle),412,Single,"less than half shrubs in flower, but those in flower often have more than 50% of branches in flower",32.92,-117.254,10695,Torrey Pines,San Diego,CA,,34
24800,2014-01-24,2014,1,024,7662,Bush rue,Cneoridium dumosum,occ_evergreens,Fruit (None),420,Single,"less than half shrubs in flower, but those in flower often have more than 50% of branches in flower",32.92,-117.254,10695,Torrey Pines,San Diego,CA,,34
24801,2014-01-24,2014,1,024,7663,wild cucumber,Marah macrocarpus,occ_wildflowers,Flowers (Middle),212,Single,,32.92,-117.254,10696,Torrey Pines,San Diego,CA,,34
24802,2014-01-24,2014,1,024,7663,wild cucumber,Marah macrocarpus,occ_wildflowers,Fruit (None),220,Single,,32.92,-117.254,10696,Torrey Pines,San Diego,CA,,34
24803,2014-01-24,2014,1,024,7664,wart stem ceanothus,Ceanothus verrucosus,occ_evergreens,Flowers (Middle),412,Single,,32.92,-117.254,10697,Torrey Pines,San Diego,CA,,34
24804,2014-01-24,2014,1,024,7664,wart stem ceanothus,Ceanothus verrucosus,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10697,Torrey Pines,San Diego,CA,,34
24805,2014-01-24,2014,1,024,7665,sand verbena,Abronia umbellata,occ_wildflowers,Flowers (Middle),212,Single,,32.92,-117.254,10698,Torrey Pines,San Diego,CA,,34
24806,2014-01-24,2014,1,024,7665,sand verbena,Abronia umbellata,occ_wildflowers,Fruit (None),220,Single,,32.92,-117.254,10698,Torrey Pines,San Diego,CA,,34
24807,2014-01-24,2014,1,024,7666,deer brush,Acmispon glaber,occ_trees,Leaves Unfolding (Early),111,Single,,32.92,-117.254,10699,Torrey Pines,San Diego,CA,,34
24808,2014-01-24,2014,1,024,7666,deer brush,Acmispon glaber,occ_trees,Leaves Changing Color (None),120,Single,,32.92,-117.254,10699,Torrey Pines,San Diego,CA,,34
24809,2014-01-24,2014,1,024,7666,deer brush,Acmispon glaber,occ_trees,Leaves Dropping (None),130,Single,,32.92,-117.254,10699,Torrey Pines,San Diego,CA,,34
24810,2014-01-24,2014,1,024,7666,deer brush,Acmispon glaber,occ_trees,Flowers (Early),141,Single,,32.92,-117.254,10699,Torrey Pines,San Diego,CA,,34
24811,2014-01-24,2014,1,024,7666,deer brush,Acmispon glaber,occ_trees,Fruit (None),150,Single,,32.92,-117.254,10699,Torrey Pines,San Diego,CA,,34
24812,2014-01-24,2014,1,024,7667,shaws agave,Agave shawii,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10700,Torrey Pines,San Diego,CA,,34
24813,2014-01-24,2014,1,024,7667,shaws agave,Agave shawii,occ_evergreens,Fruit (Late),423,Single,,32.92,-117.254,10700,Torrey Pines,San Diego,CA,,34
24814,2014-01-24,2014,1,024,7668,Torrey pine,Pinus torreyana,occ_conifers,First Needles (None),510,Single,,32.92,-117.254,10701,Torrey Pines,San Diego,CA,,34
24815,2014-01-24,2014,1,024,7668,Torrey pine,Pinus torreyana,occ_conifers,Pollen (Middle),522,Single,,32.92,-117.254,10701,Torrey Pines,San Diego,CA,,34
24816,2014-01-24,2014,1,024,7668,Torrey pine,Pinus torreyana,occ_conifers,Fruit (None),530,Single,,32.92,-117.254,10701,Torrey Pines,San Diego,CA,,34
24817,2014-01-24,2014,1,024,104,Lemonadeberry,Rhus integrifolia,occ_evergreens,Flowers (Early),411,Single,"some shrubs with many flowers (middle stage), but most are at early stages",32.92,-117.254,10702,Torrey Pines,San Diego,CA,,34
24818,2014-01-24,2014,1,024,104,Lemonadeberry,Rhus integrifolia,occ_evergreens,Fruit (None),420,Single,"some shrubs with many flowers (middle stage), but most are at early stages",32.92,-117.254,10702,Torrey Pines,San Diego,CA,,34
24819,2014-01-24,2014,1,024,7669,coastal bladderpod,Peritoma arborea,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10703,Torrey Pines,San Diego,CA,,34
24820,2014-01-24,2014,1,024,7669,coastal bladderpod,Peritoma arborea,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10703,Torrey Pines,San Diego,CA,,34
24821,2014-01-24,2014,1,024,102,California buckwheat,Eriogonum fasciculatum,occ_evergreens,Flowers (Early),411,Single,"very few plants in flower, very early for them to be flowering",32.92,-117.254,10704,Torrey Pines,San Diego,CA,,34
24822,2014-01-24,2014,1,024,102,California buckwheat,Eriogonum fasciculatum,occ_evergreens,Fruit (Late),423,Single,"very few plants in flower, very early for them to be flowering",32.92,-117.254,10704,Torrey Pines,San Diego,CA,,34
24823,2014-01-24,2014,1,024,7670,milkmaids,Cardamine californica,occ_wildflowers,Flowers (Early),211,Single,"in torrey pine forest, growing in shade, just a few plants on guy fleming trail",32.92,-117.254,10705,Torrey Pines,San Diego,CA,,34
24824,2014-01-24,2014,1,024,7670,milkmaids,Cardamine californica,occ_wildflowers,Fruit (None),220,Single,"in torrey pine forest, growing in shade, just a few plants on guy fleming trail",32.92,-117.254,10705,Torrey Pines,San Diego,CA,,34
24825,2014-01-24,2014,1,024,7671,bush poppy,Dendromecon rigida,occ_evergreens,Flowers (Middle),412,Single,"on south facing slopes, in partial shade of torrey pines, on trail to overlook near visitor center, and also on other side of road",32.92,-117.254,10706,Torrey Pines,San Diego,CA,,34
24826,2014-01-24,2014,1,024,7671,bush poppy,Dendromecon rigida,occ_evergreens,Fruit (Late),423,Single,"on south facing slopes, in partial shade of torrey pines, on trail to overlook near visitor center, and also on other side of road",32.92,-117.254,10706,Torrey Pines,San Diego,CA,,34
24827,2014-01-24,2014,1,024,7672,sea dahlia,Leptosyne maritima,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10707,Torrey Pines,San Diego,CA,,34
24828,2014-01-24,2014,1,024,7672,sea dahlia,Leptosyne maritima,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10707,Torrey Pines,San Diego,CA,,34
24829,2014-01-24,2014,1,024,105,Black sage,Salvia mellifera,occ_evergreens,Flowers (Early),411,Single,"very few shrubs with flowers, very early",32.92,-117.254,10708,Torrey Pines,San Diego,CA,,34
24830,2014-01-24,2014,1,024,105,Black sage,Salvia mellifera,occ_evergreens,Fruit (None),420,Single,"very few shrubs with flowers, very early",32.92,-117.254,10708,Torrey Pines,San Diego,CA,,34
24831,2014-01-24,2014,1,024,7674,"Parish\'s nightshade",Solanum parishii,occ_wildflowers,Flowers (Early),211,Single,growing in shade under chaparral shrubs,32.92,-117.254,10710,Torrey Pines,San Diego,CA,,34
24832,2014-01-24,2014,1,024,7674,"Parish\'s nightshade",Solanum parishii,occ_wildflowers,Fruit (None),220,Single,growing in shade under chaparral shrubs,32.92,-117.254,10710,Torrey Pines,San Diego,CA,,34
24833,2014-01-24,2014,1,024,7675,Mission manzanita,Xylococcus bicolor,occ_evergreens,Flowers (Early),411,Single,,32.92,-117.254,10711,Torrey Pines,San Diego,CA,,34
24834,2014-01-24,2014,1,024,7675,Mission manzanita,Xylococcus bicolor,occ_evergreens,Fruit (None),420,Single,,32.92,-117.254,10711,Torrey Pines,San Diego,CA,,34
24835,2014-01-26,2014,1,026,164,Sea grape,Coccoloba uvifera,occ_evergreens,Flowers (None),410,Single,,27.1937,-80.2844,10712,Palm Cove preserve,Palm City,FL,,20633
24836,2014-01-26,2014,1,026,164,Sea grape,Coccoloba uvifera,occ_evergreens,Fruit (None),420,Single,,27.1937,-80.2844,10712,Palm Cove preserve,Palm City,FL,,20633
24837,2014-01-25,2014,1,025,7676,Red willow,Salix laevigata,occ_trees,Leaves Unfolding (None),110,Single,,32.9123,-117.205,10713,Penasquitos canyon,Del Mar,CA,,34
24838,2014-01-25,2014,1,025,7676,Red willow,Salix laevigata,occ_trees,Leaves Changing Color (Middle),122,Single,,32.9123,-117.205,10713,Penasquitos canyon,Del Mar,CA,,34
24839,2014-01-25,2014,1,025,7676,Red willow,Salix laevigata,occ_trees,Leaves Dropping (None),130,Single,,32.9123,-117.205,10713,Penasquitos canyon,Del Mar,CA,,34
