Phenophase_ID,Phenophase_Description,Phenophase_Definition_IDs,Phenophase_Names,Phenophase_Revision_Comments,
"502","Pollen release (flowers)","'195,475,502'","Pollen release","2-28-2012; slight changes in wording for clarity. 3-21-2011; changed from 'in at least 3 locations' on plant to 'one or more' and added intensity options."
"503","Pollen release (conifers)","'220,476,503'","Pollen release","2-28-2012; slight changes in wording for clarity. 3-21-2011; changed from 'in at least 3 locations' on plant to 'one or more' and added intensity options."
"504","Recent fruit or seed drop","'391,478,504,528'","Recent fruit or seed drop,Acorn drop,Recent fruit drop","2-28-2012; slight changes in wording for clarity. 3-21-2011; slight changes in wording for clarity. For other Dataset_IDs, phenophase name and definition wording varies."
"505","Young leaves (forbs)","'505'","Young leaves",""
"506","Caterpillars in tent","'506'","Caterpillars in tent",""
"507","Active subadults","'507'","Active subadults",""
"508","Initial growth (rushes)","'508'","Initial growth",""
"509","Leaves (rushes)","'509'","Leaves",""
"510","New side branches (rockweed)","'510'","New side branches",""
"511","Receptacles","'511'","Receptacles",""
"512","Flat receptacles","'512'","Flat receptacles",""
"513","Smooth inflated receptacles","'513'","Smooth inflated receptacles",""
"514","Dotted inflated receptacles","'514'","Dotted inflated receptacles",""
"515","Torn receptacles","'515'","Torn receptacles",""
"516","Fruits","'389,477,516'","Fruits","2-28-2012; slight changes in wording for clarity. 3-21-2011; slight changes in wording for clarity."
"517","Nest building (ground-nesting insect)","'517'","Nest building",""
"518","Nest building (bees)","'518'","Nest building",""
"519","Drone cells","'519'","Drone cells",""
"520","Nest provisioning (pollen)","'520'","Nest provisioning",""
"521","Eggs (nesting insects)","'521'","Eggs",""
"522","Pupae","'522'","Pupae",""
"523","Dead adults (no roads)","'523'","Dead adults",""
"524","Eggs","'524'","Eggs",""
"525","Winged adults","'543'","Winged adults",""
"526","Dead nymphs (no roads)","'544'","Dead nymphs",""
